CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
110-62-3,Pentanal,Flammable liquids - Category 2,Flame,Danger,Highly flammable liquid and vapour,"Flash point: <23degC, Initial boiling point: >35degC, UNRTDG Class: 3, PG II","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
110-80-5,Ethylene glycol monoethyl ether,Flammable liquids - Category 3,,,,"The flashing point is 44degC (ICSC, 2003) (closed cup flash test), which is classified into Category 3, or Class 3 and Container III (UN Recommendations on the Transport of Dangerous Goods, UN#1171).","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
110-82-7,Cyclohexane,Flammable liquids - Category 2,Flame,Danger,Highly flammable liquid and vapour,"It was classified as Category 2 (GHS standard: flash point being less than 23 degC, and initial boiling point being more than 35 degC) as its flash point being -20 degC and initial boiling point 80.7 degC.","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
110-83-8,Cyclohexene,Flammable liquids - Category 2,Flame,Danger,Highly flammable liquid and vapour,Category 2 because of its flash point: -6degC and boiling point: 83degC.,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
110-86-1,Pyridine,Flammable liquids - Category 2,,,,"The flash point is 20degC (c.c.) and the boiling point is 115degC (ICSC (2000)), which is classified into Category 2. 
Classified into Class 3, Packing Group II (UN#1282) (UN Recommendations on the Transport of Dangerous Goods)  ","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
110-91-8,Morpholine,Flammable liquids - Category 3,Flame,Warning,Flammable liquid and vapour,Flash point: >=23degC and <=60degC,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
111-15-9,2-Ethoxyethyl acetate; Ethylene glycol monoethyl ether acetate,Flammable liquids - Category 3,,,,"The flash point is 51.1degC (c.c.) (ICSC, 2003) which is classified into Category 3. Classified into Class 3 and Packing Group III (UN#1172) (UN Recommendations on the Transport of Dangerous Goods)","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
111-30-8,Glutaraldehyde,Flammable liquids - Category 4,-,Warning,Combustible liquid,Category 4 because of its flash point: 72degC,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
111-44-4,"Ether, bis(2-chloroethyl)-",Flammable liquids - Classification not possible (Category 3 or Category 4),Flame,Warning,Flammable liquid and vapour; Combustible liquid,"Flash point data available from materials are distributed in both Category 3 and 4. Therefore, if the flash point is not measured with a real sample, it cannot be judged. The acceptance criteria are as follows:
Category 3: 23 degC<= flash point <=60 degC; Category4: 60 degC< flash point <=93 degC  ","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
111-65-9,Octane,Flammable liquids - Category 2,Flame,Danger,Highly flammable liquid and vapour,Category 2 because of its flash point:13degC(<23degC) and boiling point: 126degC(>35degC),"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
111-76-2,"Ethanol, 2-butoxy-",Flammable liquids - Category 4,-,Warning,Combustible liquid,"Flash point: 61-62degC (Merck 13th, 2001)","May 24, 2006 (Environmental Hazards: Feb. 10, 2006)"
111-84-2,Nonane,Flammable liquids - Category 3,Flame,Warning,Flammable liquid and vapour,"Flash point: >=23degC and <=60degC, UNRTDG Class: 3, PGIII","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
111-87-5,1-Octanol,Flammable liquids - Category 4,,,,"The flash point is 81degC (c.c.) (ICSC, 2002) which is classified into Category 4.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
121-44-8,Triethylamine,Flammable liquids - Category 2,Flame,Danger,Highly flammable liquid and vapour,"Flash point: <23degC, Initial boiling point: >35degC, UNRTDG Class: 3, PG II","Sep. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
121-45-9,Trimethyl phosphite,Flammable liquids - Category 3,Flame,Warning,Flammable liquid and vapour,"Category 3 because of its flash point: 28degC(Hommel, 1991)","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
121-69-7,"N,N-Dimethylaniline",Flammable liquids - Category 4,-,Warning,Combustible liquid,Flash point: 62degC,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
12108-13-3,methyl cyclopentadienyl manganese tricarbonyl,Flammable liquids - Classification not possible (Category 4 or Not classified),-,Warning,Combustible liquid,"If the information with 93 degC (Weiss (2nd, 1986) p.692) is adopted, it will be classified as Category 4, but there are multiple data with more than 93 degC. Therefore, if the flash point is not measured with a real sample, it cannot be judged.
The acceptance criteria are as follows:
Category 4: 60-degC< flash point <=93 degC; out of Category: flash point >93 degC.   ","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
123-19-3,heptan-4-one,Flammable liquids - Category 3,Flame,Warning,Flammable liquid and vapour,"Flash point: >=23degC and <=60degC, UNRTDG Class: 3, PGIII","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
123-42-2,Diacetone alcohol,Flammable liquids - Category 4,-,Warning,Combustible liquid,"Since flash point of reagent grades was 66 degC, it was classified as Category 4. (Since industrial pure product diacetone alcohol includes acetone, there is also data that indicates 8 degC of flash point. Therefore, it is class 3 Division II and III in the UN Recommendations. Such commercial items with low flash point are classified as Category 2).  ","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
123-51-3,3-Methylbutan-1-ol,Flammable liquids - Category 3,Flame,Warning,Flammable liquid and vapour,Flash point: 23degC to 60degC ,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
123-86-4,Butyl acetate,Flammable liquids - Category 2,Flame,Danger,Highly flammable liquid and vapour,"Flash point: 22degC, Boiling point: 126degC","Feb. 20, 2007 (Environmental Hazards: Nov. 20, 2006)"
123-91-1,"1,4-Dioxane",Flammable liquids - Category 2,,,,"The flash point is 12degC (c.c.) (ICSC, 1999) and the boiling point is 101degC, which is classified into Category 2. Classified into Class 3 and Packing Group II (UN#1165) (UN Recommendations on the Transport of Dangerous Goods)","Sep. 20, 2006 (Environmental Hazards: Feb. 10, 2006)"
123-92-2,isopentyl acetate,Flammable liquids - Category 3,Flame,Warning,Flammable liquid and vapour,"Flash point: 33degC (closed cup) (Merk, 13th, 2001) or 23degC(Chapman, 2005)","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
123-96-6,2-Octanol,Flammable liquids - Category 3,Flame,Warning,Flammable liquid and vapour,"Although there are variations in literature data of flash point, they are in the range of 60 degC - 88 degC (the measurement method is not indicated for any data). But the lowest value: 60 degC was adopted, and it was classified as Category 3 (GHS data: flash point being 23 degC or more and 60 degC or less).  ","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
126-98-7,"2-Propenenitrile, 2-methyl-",Flammable liquids - Category 2,Flame,Danger,Highly flammable liquid and vapour,"Flash point <23 degC, boiling point (initial boiling point)> 35 degC
[special note] Although it will be classified as Category 1 according to the fact that it is classified into PGI in UNRTDG, it is clearly classified as Category 2 from the initial boiling point (boiling point substitute). Therefore, regarding the appropriateness of above classification,  expert's judgement is required. ","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
126-99-8,Chloroprene,Flammable liquids - Category 2,Flame,Danger,Highly flammable liquid and vapour,"Category 2 because of its flash point: -20degC and initial boiling point: 59 to 59.4degC. Category 1 based on UNRTDG Class: 3, PG I.","Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
