CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
7440-36-0,Antimony,Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
4016-24-4,Sodium 1-(methoxycarbonyl)pentadecane-1-sulfonate,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,2009.3.31
999-61-1,2-hydroxypropyl acrylate,Corrosive to metals,Classification not possible,-,-,-,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7439-93-2,lithium,Corrosive to metals,Not classified,-,-,-,UNRTDG Class: 4.3,"Mar. 23, 2006"
123-91-1,"1,4-Dioxane",Corrosive to metals,Not classified,,,,"Classified into Class 3 (UN Recommendations on the Transport of Dangerous Goods, UN#1165)","Sep. 20, 2006 (Environmental Hazards: Feb. 10, 2006)"
10325-94-7,Cadmium nitrate,Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
330-55-2,"3-(3,4-dichlorophenyl)-1-methoxy-1-methylurea",Corrosive to metals,Classification not possible,,,,"Test methods applicable to solid substances with melting point of >55degC are not available (melting point: 92.6-93.8degC (Agricultural Chemical Registration Data)). 
","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
6864-37-5,"4,4'-Methylenebis(2-methylcyclohexaneamine)",Corrosive to metals,Classification not possible,,,,No data available ,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
108-20-3,"Propane, 2,2'-oxybis-",Corrosive to metals,Classification not possible,-,-,-,No data available,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
137-30-4,"Zinc bis(N,N'-dimethyldithiocarbamate)",Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances with melting point of >55degC are not available. ,"Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
110-88-3,"1,3,5-trioxan",Corrosive to metals,,,,,0.0,2008.03.26
141-66-2,(E)-3-(dimethylamino)-1-methyl-3-oxoprop-1-enyl dimethyl phosphate,Corrosive to metals,Classification not possible,-,-,-,No data available,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
