CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
110-19-0,2-Methylpropyl acetate,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
592-05-2,lead dicyanide,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
111-40-0,"N-(2-Aminoethyl)-1,2-ethanediamine; Diethylenetriamine",Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
8052-41-3,Stoddard solvent,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
8002-05-9,"Distillates (petroleum), solvent-refined heavy paraffinic; Distillates (petroleum), solvent-refined light naphthenic; Lubricating oils (petroleum), C15-30, hydrotreated neutral oil-based; Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based; Petroleum; Paraffin oils",Self-reactive substances and mixtures,Classification not possible,-,-,-,No data available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
34643-46-4,"O-2,4-dichlorophenyl O-ethyl S-propyl phosphorodithioate",Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties ,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
7778-50-9,Potassium dichromate,Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
306-83-2,"Ethane, 2,2-dichloro-1,1,1-trifluoro-",Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7789-21-1,Fluorosulfonic acid,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
917-61-3,Sodium cyanate,Self-reactive substances and mixtures,Not classified,-,-,-,"Although the grouping relevant to explosibility was not included and the grouping (unsaturated bonds) relevant to autoreactive was included. And it was used as pesticide, it was thought that there was no autoreactive and it was classified as outside of Category.","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
27355-22-2,fthalide,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7784-35-2,trifluoroarsine,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
2179-59-1,allyl propyl disulphide,Self-reactive substances and mixtures,Classification not possible,-,-,-,No data available though it contains chemical groups with self-reactive properties present,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
94-36-0,Benzoyl peroxide,Self-reactive substances and mixtures,Not applicable,-,-,-,Classified in organic peroxidies,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
64-19-7,Acetic acid,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Aug. 18, 2006 (Environmental Hazards: Feb. 10, 2006)"
101-90-6,"m-bis(2,3-epoxypropoxy)benzene",Self-reactive substances and mixtures,Classification not possible,-,-,-,No data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
31242-93-0,o-Chlorinated diphenyl oxide,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
556-61-6,Methyl isothiocyanate,Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties,"Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
18454-12-1,dilead chromate oxide,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
300-76-5,naled,Self-reactive substances and mixtures,Classification not possible,-,-,-,No data available,"Aug. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
12069-69-1,copper(II) carbonate--copper(II) hydroxide (1:1),Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
8006-64-2,Turpentine oil,Self-reactive substances and mixtures,Not classified,-,-,-,Classified in UNRTDG Class: 3,"Mar. 23, 2006"
13967-50-5,potassium dicyanoaurate,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
78-82-0,"Propanenitrile, 2-methyl-",Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
76-06-2,Trichloronitromethane; Chloropicrin,Self-reactive substances and mixtures,Not classified,,,,"No data available, thoughtThe substance contains chemical groups associated with explosive properties that contain nitro groups. Classified into Division 6.1 (UN#1580) (UN Recommendations on the Transport of Dangerous Goods) ","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10085-76-4,cupric potassium chloride dihydrate,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
96-29-7,2-butanone oxime,Self-reactive substances and mixtures,,,,,0.0,2008.03.25
35400-43-2,O-ethyl O-(4-methylthiophenyl) S-propyl dithiophosphate,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
111-30-8,Glutaraldehyde,Self-reactive substances and mixtures,Classification not possible,-,-,-,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
