CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
2631-37-0,promecarb,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
108-10-1,Methyl isobutyl ketone,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
142-64-3,piperazine dihydrochloride,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Oct. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
41814-78-2,"5-methyl-1,2,4-triazolo[3,4-b]benzo-1,3-thiazole",Self-reactive substances and mixtures,Classification not possible,-,-,-,No data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
33089-61-1,"3-methyl-1,5-di(2,4-xylyl)-1,3,5-triazapenta-1,4-diene",Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties ,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
630-08-0,Carbon monoxide,Self-reactive substances and mixtures,Not applicable,-,-,-,Gas (GHS definition),"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
55721-31-8,Salinomycin 1-sodium salt,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
3165-93-3,4-chloro-o-toluidinium chloride,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
610-39-9,"3,4-Dinitrotoluene",Self-reactive substances and mixtures,Not classified,,,,Containing nitro groups with explosive properties. The substance may explode if heated according to ICSC (2004). Classified into Division 6.1 (UN#3454 (solid) and 1600 (molten)) (UN Recommendations on the Transport of Dangerous Goods).,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
79983-71-4,"2-(2,4-dichlorophenyl)-1-(1H-1,2,4-triazol-1-yl)-2-hexanol",Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties ,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
21041-95-2,Cadmium hydroxide,Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties ,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
13464-38-5,trisodium arsenate,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
64440-88-6,"N,N'-ethylenebis(thiocarbamoylthiozinc) bis(N,N-dimethyldithiocarbamate)",Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties ,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
10099-76-0,lead(2+) silicate,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
4016-14-2,"2,3-epoxypropyl isopropyl ether",Self-reactive substances and mixtures,Classification not possible,-,-,-,"Classification not possible due to lack of data, though the substance contains epoxide groups as chemical groups with self-reactive properties present.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
13516-27-3,"1,1'-[Iminodi(octamethylene)]diguanidine; Iminoctadine",Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties ,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
7775-27-1,Disodium peroxydisulfate,Self-reactive substances and mixtures,Not applicable,-,-,-,Classified in oxidizing solids,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
76-14-2,"Ethane, 1,2-dichlorotetrafluoro-",Self-reactive substances and mixtures,Not applicable,-,-,-,Gas (GHS definition),"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
75-43-4,dichlorofluoromethane,Self-reactive substances and mixtures,Not applicable,-,-,-,Gas (GHS definition),"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7085-85-0,"2-Propenoic acid, 2-cyano-, ethyl ester",Self-reactive substances and mixtures,Classification not possible,-,-,-,No data available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
109-99-9,Tetrahydrofuran,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
75-86-5,"Propanenitrile, 2-hydroxy-2-methyl-",Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7803-49-8,hydroxylamine,Self-reactive substances and mixtures,Not classified,-,-,-,"Although the grouping relevant to explosive (N-O) is included, explosion is not caused if not exposed to high. Moreover, the grouping relevant to autoreactive was not included, it carried out the outside of Category.
 (However, mixing of a substance with decomposition promotion actions, such as metal ions, will promote autoreactive. In Japan, serious explosions happened and 85wt% aqueous solutions are designated as first class self-reactive substances and the aqueous solutions beyond 20wt% as second sort self-reactive substance in fire defense laws.) ","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
13826-83-0,ammonium tetrafluoroborate,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
66332-96-5,Flutolanil,Self-reactive substances and mixtures,Classification not possible,-,-,-,No data available,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
67-66-3,Chloroform,Self-reactive substances and mixtures,Not applicable,,,,Containing no atom groups with explosive or self-reactive properties,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
131-89-5,dinex,Self-reactive substances and mixtures,Not classified,-,-,-,"Although the grouping relevant to explosive (N-O) was included, the grouping relevant to autoreactive was not included and it was used as pesticide. So it was thought that there was no autoreactive and it was classified as outside of Category.","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
542-83-6,cadmium cyanide,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
1330-78-5,Tritolyl phosphate,Self-reactive substances and mixtures,Classification not possible,-,-,-,Classification not possible due to lack of data,2009.3.31
12001-29-5,Chrysotile asbestos,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
140-56-7,Fenaminosulf,Self-reactive substances and mixtures,Not classified,-,-,-,"Although the grouping relevant to explosive (adjoining nitrogen atom) was included, the grouping relevant to autoreactive was not included and the data in which autoreactive is indicated was not found, either. So it was considered the outside of Category.","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
80-05-7,"4,4'-Isopropylidenediphenol; Bisphenol A",Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties,"Apr. 20, 2006 (Environmental Hazards: May 24, 2006)"
28348-61-0,Sodium tetradecylbenzenesulphonate (C14),Self-reactive substances and mixtures,Classification not possible,,,,"Classification not possible due to lack of data, though being sulfonyls, containing chemical groups with self-reactive properties","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
87-61-6,"1,2,3-trichlorobenzene",Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,2009.3.31
7705-07-9,titanium trichloride,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
3942-54-9,2-chlorophenyl methylcarbamate,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
382-21-8,Perfluoroisobutylene,Self-reactive substances and mixtures,Not applicable,-,-,-,Gas (GHS definition),"Nov. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
7789-06-2,Strontium chromate,Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
132-27-4,"Sodium 1,1'-biphenyl-2-olate",Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties ,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
119-12-0,"O,O-diethyl O-(1,6-dihydro-6-oxo-1-phenylpyridazin-3-yl) thiophosphate",Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
6423-43-4,"1,2-Propanediol, dinitrate",Self-reactive substances and mixtures,Classification not possible,-,-,-,No data available,"Sep. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
108-31-6,Maleic anhydride,Self-reactive substances and mixtures,Not classified,,,,"Containing unsaturated bonds, with decomposition heat of 0.92kJ/g at temperatures in the range of 260 to 370degC according to Bretherick (J) (5th,1998). Classified into Division 6.1 and Class 8 (UN#2215 (solid), UN#2215 (molten)) (UN Recommendations on the Transport of Dangerous Goods).  ","Dec. 19, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-01-6,"Aniline, 4-nitro-",Self-reactive substances and mixtures,Not classified,-,-,-,Classified in UNRTDG Class: 6.1,"Oct. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
2425-10-7,"3,4-xylyl methylcarbamate",Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
271-89-6,benzofuran,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
73250-68-7,2-(2-benzothiazolyloxy)-N-methylacetanilide,Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties ,"Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
3333-52-6,Tetramethyl succinonitrile,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Sep. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
563-68-8,thallium acetate,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
79538-32-2,"2,3,5,6-Tetrafluoro-4-methylbenzyl (Z)-3-(2-chloro-3,3,3-trifluoro-1-propenyl)-2,2-dimethylcyclopropanecarboxylate; Tefluthrin",Self-reactive substances and mixtures,Classification not possible,,,,"Classification not possible due to lack of data, though containing unsaturated bonds (olefin). ","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
8008-20-6,Kerosine petroleum,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Mar. 23, 2006"
541-85-5,5-methylheptan-3-one,Self-reactive substances and mixtures,Not classified,-,-,-,"Classified in UNRTDG No.2271, Class: 3, PGIII","Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
71048-99-2,4-[(Hydroxy)(methyl)phosphinyl]-L-Abu-L-Ala-L-Ala-ONa,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
5349-28-0,Thiocyanatoacetic acid ethyl ester,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7447-39-4,Copper dichloride,Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
79-34-5,"Ethane, 1,1,2,2-tetrachloro-",Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
79622-59-6,"3-chloro-N-(3-chloro-5-trifluoromethyl-2-pyridyl)-alpha,alpha,alpha-trifluoro-2,6-dinitro-p-toluidine",Self-reactive substances and mixtures,Classification not possible,,,,"Classification not possible due to lack of data, though the substance contains nitro groups with explosive properties","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
98-54-4,4-tert-Butylphenol,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,2009.3.31
57-74-9,"chlordane , pur",Self-reactive substances and mixtures,Classification not possible,-,-,-,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
23135-22-0,"N',N'-dimethylcarbamoyl(methylthio)methylenamine N-methylcarbamate",Self-reactive substances and mixtures,Classification not possible,-,-,-,"Classification not possible due to lack of data, though the substance contains N-O bonds as chemical groups with explosive or self-reactive properties present","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
95-73-8,"2,4-Dichlorotoluene",Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,2009.3.31
57-57-8,propiolactone,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Mar. 23, 2006"
123-30-8,p-Aminophenol,Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
120-80-9,Pyrocatechol,Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties  ,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7664-93-9,Sulfuric acid,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
113378-31-7,Semduramicin,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Jan. 23, 2007 (Environmental Hazards: Mar. 31, 2006)"
2674-91-1,"S-(2-ethylsulphinyl-1-methylethyl)-O,O-dimethyl phosphorothioate",Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
121-82-4,"1,3,5-Triazine, hexahydro-1,3,5-trinitro-",Self-reactive substances and mixtures,Not applicable,-,-,-,Classified in explosives,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
4979-32-2,"N,N-Dicyclohexan-1-yl(1,3-benzothiazol-2-ylsulfanyl)amine",Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,2009.3.31
22248-79-9,"(Z)-2-chloro-1-(2,4,5-trichlorophenyl)vinyl dimethyl phosphate",Self-reactive substances and mixtures,Classification not possible,,,,"Classification not possible due to lack of data, though containing unsaturated bonds (olefin). ","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
26087-47-8,"S-benzyl O,O-diisopropyl phosphorothioate",Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties ,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
11097-69-1,PCB 1254; polychlorobiphenyl; Chlorodiphenyl (42% chlorine),Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
75-09-2,Dichloromethane; Methylene dichloride,Self-reactive substances and mixtures,Not applicable,,,,Containing no atom groups with explosive or self-reactive properties,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
12604-58-9,Ferrovanadium dust,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Oct. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
8012-95-1,"Distillates (petroleum), solvent-refined heavy paraffinic; Distillates (petroleum), solvent-refined light naphthenic; Lubricating oils (petroleum), C15-30, hydrotreated neutral oil-based; Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based; Petroleum; Paraffin oils",Self-reactive substances and mixtures,Classification not possible,-,-,-,No data available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
13171-21-6,phosphamidon,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
105779-78-0,"5-Chloro-N-{2-[4-(2-ethoxyethyl)-2,3-dimethylphenoxy]ethyl}-6-ethylpyrimidine-4-amine; Pylimidifen",Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties,"Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7681-65-4,copper iodide,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
82657-04-3,"2-Methyl-1,1'-biphenyl-3-ylmethyl (Z)-3-(2-chloro-3,3,3-trifluoro-1-propenyl)-2,2-dimethylcyclopropanecarboxylate; Bifenthrin",Self-reactive substances and mixtures,Classification not possible,,,,"Classification not possible due to lack of data, though containing unsaturated bonds (olefin). ","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
75-74-1,Tetramethyllead,Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
114-26-1,2-isopropyloxyphenyl N-methylcarbamate,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
6454-35-9,"(E)-5,5,12,12-Tetrabutyl-7,10-dioxo-6,11-dioxa-5,12-distannahexadec-8-ene",Self-reactive substances and mixtures,Classification not possible,,,,"Classification not possible due to lack of data, though containing unsaturated bonds (olefin). ","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
98-95-3,Nitrobenzene,Self-reactive substances and mixtures,Not classified,,,,"Not classified as self-reactive substances given the kick-off temperature of 280degC(Bretherick (J) (5th, 1998)) (though containing nitro groups). Classified into Division 6.1 (UN#1662) (UN Recommendations on the Transport of Dangerous Goods)
","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-97-0,"1,3,5,7-Tetraazatricyclo[3.3.1.13.7]decane; Hexamethylenetetramine",Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
97-77-8,Disulfiram,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
77-09-8,"3,3-Bis(4-hydroxyphenyl)isobenzofuran-1(3H)-one",Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,2009.3.31
67-72-1,"Ethane, hexachloro-",Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
2279-76-7,Tri-n-propyltin,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
2310-17-0,"O,O-Diethyl S-(6-chloro-2,3-dihydro-2-oxobenzoxazolinyl)methyl phosphorodithioate; Phosalone",Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
95-49-8,o-Chlorotoluene,Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
71561-11-0,"2-[4-(2,4-dichlorobenzoyl)-1,3-dimethyl-5-pyrazolyloxy]acetophenone",Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties ,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
1129-41-5,m-tolyl methylcarbamate,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
563-47-3,3-Chloro-2-methylprop-1-ene,Self-reactive substances and mixtures,Classification not possible,-,-,-,"Although the unsaturated bond is included in chemical structure, classification is not possible with no data. ",2009.3.31
123-92-2,isopentyl acetate,Self-reactive substances and mixtures,Not classified,-,-,-,"Classified in UNRTDG No. 1104, Class: 3, PGIII","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
110-43-0,2-Heptanone,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
102851-06-9,"alpha-cyano-3-phenoxybenzyl N-(2-chloro-alpha,alpha,alpha-trifluoro-p-tolyl)-D-valinate",Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties ,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
6923-22-4,monocrotophos,Self-reactive substances and mixtures,Classification not possible,-,-,-,No data available,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
1319-77-3,Cresol,Self-reactive substances and mixtures,Not applicable,,,,Containing no atom groups with explosive or self-reactive properties,"Mar. 23, 2006 (Environmental Hazards: May 24, 2006)"
7782-41-4,Fluorine,Self-reactive substances and mixtures,Not applicable,,,,"Classified as ""gas"" according to GHS definition","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
77-47-4,Hexachlorocyclopentadiene,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Aug. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
143-33-9,Sodium cyanide,Self-reactive substances and mixtures,Not applicable,,,,Containing no atom groups with explosive or self-reactive properties,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
17420-30-3,2-Amino-5-nitrobenzonitrile,Self-reactive substances and mixtures,Classification not possible,,,,"Classification not possible due to lack of data, though containing nitro groups with explosive properties","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10453-86-8,"(5-Benzyl-3-furyl)methyl 2,2-dimethyl-3-(2-methylprop-1-en-1-yl)cyclopropanecarboxylate",Self-reactive substances and mixtures,Not classified,-,-,-,"Although the unsaturated bond is included, it was classified into Not classified, since it was classified into Class 6.1 and PG III in the United Nations Recommendations on the Transport of Dangerous Goods (UN No.3349(ICSC, 2001). ",2009.3.31
10101-63-0,Lead diiodide,Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties  ,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
71-23-8,1-Propanol,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
298-81-7,"9-Methoxy-7H-furo[3,2-g][1]benzopyran-7-one; Methoxsalen",Self-reactive substances and mixtures,Classification not possible,,,,"Classification not possible due to lack of data, though containing unsaturated bonds (olefin)","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
513-77-9,Barium carbonate,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
111988-49-9,thiacloprid,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
628-96-6,"1,2-Ethanediol, dinitrate",Self-reactive substances and mixtures,Not applicable,-,-,-,Classified in explosives,"Mar. 23, 2006"
75-71-8,"Methane, dichlorodifluoro-",Self-reactive substances and mixtures,Not applicable,-,-,-,Gas (GHS definition),"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
60-34-4,methylhydrazine,Self-reactive substances and mixtures,Type G,-,-,-,UNRTDG Non-hazardrous Substance ,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10294-26-5,disilver(1+) sulphate,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
513-78-0,Cadmium carbonate,Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
23414-72-4,zinc permanganate,Self-reactive substances and mixtures,Not applicable,-,-,-,Classified in oxidizing solids,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
2597-03-7,Ethyl 2-[(dimethoxyphosphinothioyl)thio]-2-phenylacetate; Phenthoate; PAP,Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties,"Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
151-21-3,Sodium dodecan-1-yl sulfate,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,2009.3.31
17068-86-9,calcium hexafluoroarsenate,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
12013-69-3,dicalcium lead tetraoxide,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
10380-28-6,bis(8-quinolinolato)copper,Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties ,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
89269-64-7,"(Z)-2'-methylacetophenone 4,6-dimethyl-2-pyrimidinylhydrazone",Self-reactive substances and mixtures,Classification not possible,,,,"Classification not possible due to lack of data, though being a hydrazine compound containing chemical groups with explosive properties.","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
105-16-8,2-(Diethylamino)ethyl methacrylate,Self-reactive substances and mixtures,Classification not possible,,,,"Classification not possible due to lack of data, though containing unsaturated bonds (olefin)","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
6484-52-2,Ammonium nitrate,Self-reactive substances and mixtures,Not applicable,-,-,-,Classified in oxidizing solids,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
